source_code,name_pt,name_en,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g
263,"Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",,596.1195169563294,1e-05,0.0,67.43433333333334
264,"Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",,722.525625804901,1e-05,0.0,81.73366666666665
265,"Margarina, com óleo interesterificado, com sal (65%de lipídeos)",,594.4516933333332,1e-05,0.0,67.24566666666665
266,"Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",,593.1374902381897,1e-05,0.0,67.097
267,"Óleo, de babaçu",,884,0,0,100
268,"Óleo, de canola",,884,0,0,100
269,"Óleo, de girassol",,884,0,0,100
270,"Óleo, de milho",,884,0,0,100
271,"Óleo, de pequi",,884,0,0,100
272,"Óleo, de soja",,884,0,0,100
273,"Abadejo, filé, congelado, assado",,111.6155034511884,23.525,0.0,1.2376666666666667
274,"Abadejo, filé, congelado,cozido",,91.10354839555423,19.34583333333333,0.0,0.9420000000000001
275,"Abadejo, filé, congelado, cru",,59.11303324858347,13.083333333333332,0.0,0.36
276,"Abadejo, filé, congelado, grelhado",,129.6435259028673,27.610416666666666,0.0,1.3023333333333333
277,"Atum, conserva em óleo",,165.91056057890256,26.1875,0.0,5.996666666666666
278,"Atum, fresco, cru",,117.50099999999998,25.68,0.0,0.87
279,"Bacalhau, salgado, cru",,135.89296666666664,29.036666666666665,0.0,1.32
280,"Bacalhau, salgado, refogado",,139.66070105353995,23.979166666666664,1.2241666666666786,3.606666666666667
281,"Cação, posta, com farinha de trigo, frita",,208.33274372597532,24.952083333333334,3.100583333333332,9.954333333333333
282,"Cação, posta, cozida",,116.01448068765795,25.589583333333326,0.0,0.7479999999999999
283,"Cação, posta, crua",,83.33302501956622,17.854166666666668,0.0,0.7866666666666666
284,"Camarão, Rio Grande, grande, cozido",,90.01368009630838,18.966666666666665,0.0,1.0006666666666666
285,"Camarão, Rio Grande, grande, cru",,47.18343670543035,9.991666666666667,0.0,0.501
286,"Camarão, Sete Barbas, sem cabeça, com casca, frito",,231.24615385087333,18.3875,2.8798333333333326,15.620333333333333
287,"Caranguejo, cozido",,82.72150150783858,18.479166666666668,0.0,0.423
288,"Corimba, cru",,128.1554,17.366666666666667,0,5.986666666666667
289,"Corimbatá, assado",,261.45243941056725,19.897916666666667,0.0,19.566333333333333
290,"Corimbatá, cozido",,238.69610486733916,20.13125,0.0,16.933000000000003
291,"Corvina de água doce, crua",,101.00903333333332,18.916666666666668,0.0,2.2433333333333336
292,"Corvina do mar, crua",,94.0,18.57,0.0,1.5833333333333333
293,"Corvina grande, assada",,146.52814112536112,26.766666666666666,0.0,3.5736666666666665
294,"Corvina grande, cozida",,100.07812455296516,23.4375,0.0,2.5626666666666664
295,"Dourada de água doce, fresca",,131.2083147237698,18.810416666666665,0.0,5.641666666666667
296,"Lambari, congelado, cru",,130.84031100948653,16.8125,0.0,6.546666666666667
297,"Lambari, congelado, frito",,326.86839988660813,28.425,0.0,22.782
298,"Lambari, fresco, cru",,151.598346503218,15.652083333333334,0.0,9.397333333333334
299,"Manjuba, com farinha de trigo, frita",,343.55045872306823,23.45,10.24033333333333,22.593
300,"Manjuba, frita",,349.32523145536584,30.13958333333333,0.0,24.46
301,"Merluza, filé, assado",,121.91021833333333,26.604166666666668,0.0,0.9213333333333334
302,"Merluza, filé, cru",,89.13086666666665,16.606666666666666,0.0,2.02
303,"Merluza, filé, frito",,191.62747837583225,26.929166666666664,0.0,8.496666666666668
304,"Pescada, branca, crua",,110.87629999999999,16.263333333333332,0.0,4.593333333333334
305,"Pescada, branca, frita",,223.0397323693037,27.35625,0.0,11.777000000000001
306,"Pescada, filé, com farinha de trigo, frito",,283.4252144319614,21.435416666666665,5.033250000000005,19.115
307,"Pescada, filé, cru",,107.20556666666666,16.65,0.0,4.003333333333334
308,"Pescada, filé, frito",,154.270025,28.5875,0.0,3.57
309,"Pescada, filé, molho escabeche",,141.9583228750229,11.75,5.0153333333333405,8.024
310,"Pescadinha, crua",,76.40890833333334,15.47916666666667,0.0,1.1433333333333333
311,"Pintado, assado",,191.55914112758637,36.45,0.0,3.9820000000000007
312,"Pintado, cru",,91.08323333333333,18.55666666666667,0.0,1.3133333333333335
313,"Pintado, grelhado",,152.19008833333334,30.795833333333334,0.0,2.294
314,"Porquinho, cru",,93.02456666666666,20.49,0.0,0.6133333333333333
315,"Salmão, filé, com pele, fresco,  grelhado",,228.73177513531843,23.91875,0.0,14.035333333333334
